"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000198743",1999.10327890814,2.53453041318334,0.0670975515312826,37.7738137285334,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.33893117834752,0.0358590271904395,-37.3387479598023,3.86076293771512e-305,2.37083017400189e-302,"ENO1","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.66815955567914,0.0447581295674439,37.2705377056802,4.92667706963664e-304,2.90437466609219e-301,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80533073537456,0.0488625138534269,36.9471521827554,8.09223093774381e-299,4.58704998309493e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763709005176,0.0550460851710089,36.8352641927687,5.03516292068994e-297,2.74845300463438e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.06349386339,2.5449370237062,0.0693613891171939,36.6909754273554,1.01726211415131e-294,5.35443179941499e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.14808670766457,0.0589063478178215,-36.4661328912788,3.8187079269207e-291,1.94069370437784e-288,"MGLL","11343","monoglyceride lipase"
"ENSG00000104081",804.838487338128,4.43413656937962,0.121636384309009,36.454031370375,5.93855588285594e-291,2.91741455338436e-288,"BMF","90427","Bcl2 modifying factor"
"ENSG00000166073",2268.80918089117,-2.20667084197543,0.0608219603300613,-36.280824064212,3.24647707899738e-288,1.54343803839559e-285,"GPR176","11245","G protein-coupled receptor 176"
"ENSG00000165434",1243.14971044106,2.51723600337688,0.0694013568101071,36.270703039199,4.68795720195586e-288,2.15909728882579e-285,"PGM2L1","283209","phosphoglucomutase 2 like 1"
"ENSG00000091527",2814.15907315816,-1.81023338575904,0.0499749026867933,-36.2228496392336,2.65982817504035e-287,1.18789538314378e-284,"CDV3","55573","CDV3 homolog"
"ENSG00000033867",3157.52042924196,1.93501315030905,0.0535351844187945,36.1446994404997,4.50686653530776e-286,1.95359408815782e-283,"SLC4A7","9497","solute carrier family 4 member 7"
"ENSG00000117724",1324.17284690485,-2.82511200622637,0.0781715112143749,-36.1399180128279,5.35776043391278e-286,2.2122981853078e-283,"CENPF","1063","centromere protein F"
"ENSG00000101825",1024.97040543336,3.28766304155909,0.0909710035947847,36.1396809053953,5.40390383166515e-286,2.2122981853078e-283,"MXRA5","25878","matrix remodeling associated 5"
"ENSG00000198959",5110.85796803933,-1.74624587696819,0.0487932039128136,-35.7887110690349,1.65483773596806e-280,6.59162123045871e-278,"TGM2","7052","transglutaminase 2"
"ENSG00000164938",1395.9221058483,2.3177820205721,0.0656155290168515,35.3236810752047,2.54304773439907e-273,9.86300987094038e-271,"TP53INP1","94241","tumor protein p53 inducible nuclear protein 1"
"ENSG00000073712",2356.74691021857,-2.30515285904051,0.0653960001146942,-35.2491414612153,3.53644744759827e-272,1.33641442263342e-269,"FERMT2","10979","FERM domain containing kindlin 2"
"ENSG00000143799",1043.84682510942,-2.61747584697613,0.0743747822247667,-35.193055612128,2.55367280463512e-271,9.40900744867808e-269,"PARP1","142","poly(ADP-ribose) polymerase 1"
"ENSG00000196549",1520.30148791169,2.83743506770689,0.0806594351553798,35.1779684824341,4.34405880789823e-271,1.56153021245864e-268,"MME","4311","membrane metalloendopeptidase"
"ENSG00000110002",899.504360793506,4.43907473642709,0.126316442577234,35.142493295858,1.51368505291738e-270,5.31159293092771e-268,"VWA5A","4013","von Willebrand factor A domain containing 5A"
"ENSG00000088325",1049.74978195443,-3.0120401408809,0.0861136721791656,-34.977490387521,4.94845906642169e-268,1.69605557490518e-265,"TPX2","22974","TPX2 microtubule nucleation factor"
"ENSG00000133318",1500.97300012898,-2.41401849885074,0.069068071938802,-34.9512941520894,1.23760070810718e-267,4.14539982638263e-265,"RTN3","10313","reticulon 3"
"ENSG00000154864",1374.01910088605,2.35786042992097,0.0676832760483668,34.836677057949,6.77551978905588e-266,2.21905801446901e-263,"PIEZO2","63895","piezo type mechanosensitive ion channel component 2"
"ENSG00000197321",4211.22514661471,1.73283927596071,0.0497514627607784,34.8299161432255,8.57640482947545e-266,2.74780552993064e-263,"SVIL","6840","supervillin"
"ENSG00000182752",6930.41939676306,2.01487019572904,0.0588365429526375,34.2452172513089,5.13832649611605e-257,1.6112479978672e-254,"PAPPA","5069","pappalysin 1"
"ENSG00000198901",744.768135087352,-3.17652098959607,0.09287012866305,-34.2039042620591,2.11544739136211e-256,6.49530492789475e-254,"PRC1","9055","protein regulator of cytokinesis 1"
"ENSG00000277443",2830.20102519863,-1.92971757637325,0.05692424527649,-33.8997481126066,6.71883756209975e-252,2.0208617957189e-249,"MARCKS","4082","myristoylated alanine rich protein kinase C substrate"
"ENSG00000168542",62749.3849250663,1.40989019840435,0.0418063482127331,33.724308835349,2.54542430073733e-249,7.50289266885335e-247,"COL3A1","1281","collagen type III alpha 1 chain"
"ENSG00000146072",1758.22981855472,2.05910888556673,0.06113212745077,33.6829253525478,1.02809855523172e-248,2.97100323666766e-246,"TNFRSF21","27242","TNF receptor superfamily member 21"
"ENSG00000145632",3262.15452178144,1.54674961545861,0.0460243816631364,33.6071786206633,1.3176845419458e-247,3.73462207292253e-245,"PLK2","10769","polo like kinase 2"
"ENSG00000140943",1848.88777327798,-1.89361784325711,0.0564684067890024,-33.5341113896259,1.5347656830783e-246,4.26780691268076e-244,"MBTPS1","8720","membrane bound transcription factor peptidase, site 1"
"ENSG00000102024",3591.26703399212,-1.70354659194414,0.0509601084330715,-33.4290221179865,5.1938708009973e-245,1.41754199750182e-242,"PLS3","5358","plastin 3"
"ENSG00000135046",4581.91768778281,-1.46401591146561,0.0439328997861537,-33.3239080186332,1.73983423076404e-243,4.66212307145462e-241,"ANXA1","301","annexin A1"
"ENSG00000081923",1549.06690179341,-2.52988619990506,0.0760092136681861,-33.2839412199307,6.5932012133641e-243,1.73518927647429e-240,"ATP8B1","5205","ATPase phospholipid transporting 8B1"
"ENSG00000163346",2917.79069939981,1.81056662202549,0.0547035642300255,33.0977816072853,3.19849460436957e-240,8.27007254021031e-238,"PBXIP1","57326","PBX homeobox interacting protein 1"
"ENSG00000187678",2363.67043987816,1.72415483190765,0.0522701775758545,32.9854404914839,1.31368389251487e-238,3.33811607032486e-236,"SPRY4","81848","sprouty RTK signaling antagonist 4"
"ENSG00000163017",4893.9021785664,-1.87095249166427,0.0567964576071475,-32.9413588538455,5.62516793268034e-238,1.40514788121768e-235,"ACTG2","72","actin gamma 2, smooth muscle"
"ENSG00000152894",4900.8667898464,1.68614754698015,0.0515037591585348,32.7383393858686,4.44951425859658e-235,1.09294901905327e-232,"PTPRK","5796","protein tyrosine phosphatase receptor type K"
"ENSG00000143341",2279.33849385387,2.0572094615981,0.0629925111674002,32.6580005063007,6.16936916095012e-234,1.49056004416529e-231,"HMCN1","83872","hemicentin 1"
"ENSG00000115461",200904.539632615,1.27117471085745,0.0389873660702411,32.6047855750823,3.50824732082923e-233,8.33944338941633e-231,"IGFBP5","3488","insulin like growth factor binding protein 5"
"ENSG00000104321",7567.20986030082,3.29744633697211,0.101231296318793,32.5733884369904,9.76966579472213e-233,2.28548149972404e-230,"TRPA1","8989","transient receptor potential cation channel subfamily A member 1"
"ENSG00000113721",11145.9451572206,1.38865862864531,0.0428974817470635,32.3715652315739,6.89936816298544e-230,1.58879512478249e-227,"PDGFRB","5159","platelet derived growth factor receptor beta"
"ENSG00000164924",9585.69435022083,-1.33707455466013,0.0417126477006092,-32.054415827471,1.90534235181591e-225,4.32014393554813e-223,"YWHAZ","7534","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta"
"ENSG00000173334",1074.47707273372,2.41256199117186,0.0759164039670517,31.77919217853,1.25506448832845e-221,2.80259703469465e-219,"TRIB1","10221","tribbles pseudokinase 1"
"ENSG00000160014",4226.55595021453,-1.42461130955956,0.0449230264798727,-31.7122736643277,1.05241017010415e-220,2.31498822193956e-218,"CALM3","808","calmodulin 3"
"ENSG00000148175",3890.72249473237,1.38275935255613,0.0437425176330879,31.6113344036278,2.57950791831675e-219,5.5907040735518e-217,"STOM","2040","stomatin"
"ENSG00000171951",793.124579134863,2.98016310498421,0.0943819971500326,31.5755461313968,7.99969814803042e-219,1.70868914935757e-216,"SCG2","7857","secretogranin II"
"ENSG00000153234",635.93920101828,4.32640777579068,0.137032426181792,31.5721460703843,8.90723870360141e-219,1.87535548590968e-216,"NR4A2","4929","nuclear receptor subfamily 4 group A member 2"
"ENSG00000164761",5291.78842553364,1.48922391534509,0.047410256529608,31.4114291791494,1.41264585043556e-216,2.93233444277737e-214,"TNFRSF11B","4982","TNF receptor superfamily member 11b"
"ENSG00000134057",780.375869741297,-2.66975909691587,0.0850915115396837,-31.3751518642467,4.41709378017699e-216,9.0415455739234e-214,"CCNB1","891","cyclin B1"
"ENSG00000135074",13374.6004179129,1.1418889891411,0.0363987405708282,31.371662074931,4.92872115396756e-216,9.95061539276354e-214,"ADAM19","8728","ADAM metallopeptidase domain 19"
"ENSG00000128591",23487.8410667789,-1.33084139993161,0.04327862627345,-30.7505462748026,1.20239125454557e-207,2.39470842020171e-205,"FLNC","2318","filamin C"
"ENSG00000127920",2352.92723869813,2.10488854245723,0.0685910534774266,30.6875085852114,8.35463562306807e-207,1.6417415975037e-204,"GNG11","2791","G protein subunit gamma 11"
"ENSG00000105088",793.128211520276,2.86562585501794,0.0934444336636062,30.6666298105461,1.5863094717919e-206,3.07618802569329e-204,"OLFM2","93145","olfactomedin 2"
"ENSG00000092820",1475.49048809515,-1.91025660591878,0.0625712944141847,-30.5292806198641,1.06537168202742e-204,2.03914907139222e-202,"EZR","7430","ezrin"
"ENSG00000183287",603.48721362449,-3.43610918576658,0.112997107796138,-30.4088241972157,4.19912694355502e-203,7.93419652488639e-201,"CCBE1","147372","collagen and calcium binding EGF domains 1"
"ENSG00000130513",4665.52215751242,4.22670314152856,0.139333107448276,30.3352391899939,3.9339156426554e-202,7.33899351157663e-200,"GDF15","9518","growth differentiation factor 15"
"ENSG00000171246",11339.2021259297,1.74021926020397,0.0574719537534394,30.2794519161415,2.13753030996927e-201,3.93786521354088e-199,"NPTX1","4884","neuronal pentraxin 1"
"ENSG00000076513",2351.57847713981,-1.94451433589574,0.0645262738254725,-30.1352336128252,1.67480462753358e-199,3.04731735809753e-197,"ANKRD13A","88455","ankyrin repeat domain 13A"
"ENSG00000176014",5059.66070673934,-1.58287883736548,0.0526625742445322,-30.0569970244063,1.76883769786737e-198,3.17916219404504e-196,"TUBB6","84617","tubulin beta 6 class V"
"ENSG00000068489",527.868372422255,-3.28311258392141,0.109401846194213,-30.0096634392543,7.34103923040631e-198,1.30352091780395e-195,"PRR11","55771","proline rich 11"
"ENSG00000089159",2841.04018824034,-1.5200728282666,0.0507616640054559,-29.9452915511837,5.06697878688092e-197,8.89013492393464e-195,"PXN","5829","paxillin"
"ENSG00000112984",587.875352632019,-3.36365680003982,0.11277375892955,-29.8265911499952,1.76651861156967e-195,3.0629354467428e-193,"KIF20A","10112","kinesin family member 20A"
"ENSG00000003436",3855.53263789867,1.5374040393021,0.0515649228456488,29.8149198032171,2.50289887466617e-195,4.28927018777094e-193,"TFPI","7035","tissue factor pathway inhibitor"
"ENSG00000116729",14027.992136521,1.67569487585239,0.056416600697784,29.7021595616662,7.20103889895911e-194,1.21907886631212e-191,"WLS","79971","Wnt ligand secretion mediator"
"ENSG00000171617",3172.76514957676,1.723040305874,0.0580113149313205,29.7017971048217,7.27907044615732e-194,1.21907886631212e-191,"ENC1","8507","ectodermal-neural cortex 1"
"ENSG00000173546",2782.7113944163,-1.7083605326273,0.0575941292809182,-29.6620602474028,2.37078322896823e-193,3.92591047511615e-191,"CSPG4","1464","chondroitin sulfate proteoglycan 4"
"ENSG00000122641",8425.96553258607,1.39132775321912,0.0469878368635247,29.610381028184,1.09850686788476e-192,1.79886602432062e-190,"INHBA","3624","inhibin subunit beta A"
"ENSG00000133818",917.65645300902,-2.58022994833651,0.0872303195121797,-29.5795081660368,2.74196090022625e-192,4.44077140082797e-190,"RRAS2","22800","RAS related 2"
"ENSG00000111615",1215.27891511062,1.9567704307337,0.0663760809317754,29.4800537070721,5.18783714336332e-191,8.31068954553137e-189,"KRR1","11103","KRR1 small subunit processome component homolog"
"ENSG00000064666",5624.42477846777,-1.64273183330411,0.0557716978581995,-29.4545781532558,1.09997838634386e-190,1.74317004924041e-188,"CNN2","1265","calponin 2"
"ENSG00000134250",3989.90689953644,-1.35592776100502,0.0460501455331163,-29.4445923092669,1.4765492826784e-190,2.31504077958663e-188,"NOTCH2","4853","notch receptor 2"
"ENSG00000066279",593.333577786577,-3.10048884482381,0.10536440345974,-29.4263408040698,2.52835273798781e-190,3.92240659499625e-188,"ASPM","259266","assembly factor for spindle microtubules"
"ENSG00000116991",845.465812777274,2.42014865393708,0.0824494795952808,29.3531101204865,2.1808147972816e-189,3.34800505024336e-187,"SIPA1L2","57568","signal induced proliferation associated 1 like 2"
"ENSG00000156011",1865.6956706154,1.7411941241085,0.0593370017338661,29.3441541235597,2.83728974310703e-189,4.31092538493932e-187,"PSD3","23362","pleckstrin and Sec7 domain containing 3"
"ENSG00000159399",1648.34458773227,1.92240040791743,0.065949098722687,29.149760120317,8.41270771665948e-187,1.26516822783803e-184,"HK2","3099","hexokinase 2"
"ENSG00000157557",2128.88768598769,1.84664194734391,0.0635784335350277,29.04509980301,1.7744808508826e-185,2.64164634144523e-183,"ETS2","2114","ETS proto-oncogene 2, transcription factor"
"ENSG00000103257",3712.52147667185,-1.50764330930244,0.0520551629540625,-28.9624164779371,1.95794218333105e-184,2.8856151897933e-182,"SLC7A5","8140","solute carrier family 7 member 5"
"ENSG00000065911",1563.07540926849,-1.94825249992919,0.06733749720216,-28.9326538834695,4.63888243519115e-184,6.76909399305417e-182,"MTHFD2","10797","methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2, methenyltetrahydrofolate cyclohydrolase"
"ENSG00000136153",4620.22110366109,-1.40313136368286,0.0486375323955703,-28.8487366561108,5.25517424702154e-183,7.59321157378465e-181,"LMO7","4008","LIM domain 7"
"ENSG00000135318",10396.875971113,-1.18098787419801,0.0409964039469363,-28.8071089290324,1.74736602296124e-182,2.50026023751483e-180,"NT5E","4907","5'-nucleotidase ecto"
"ENSG00000171444",1285.81453923875,1.8563393653748,0.0644924710576637,28.7838151482057,3.42010655050013e-182,4.84668560973759e-180,"MCC","4163","MCC regulator of WNT signaling pathway"
"ENSG00000145147",601.510428483162,-2.68630819028892,0.0934361677057988,-28.750196591402,9.00646604757012e-182,1.26416472961037e-179,"SLIT2","9353","slit guidance ligand 2"
"ENSG00000182481",2566.38058699848,-1.61375816428663,0.0561603395734957,-28.7348363015992,1.40127730649464e-181,1.94830423991679e-179,"KPNA2","3838","karyopherin subunit alpha 2"
"ENSG00000108829",3850.57518186778,-1.47517609595001,0.0513457655234836,-28.7302386265002,1.59942899189565e-181,2.20302658715496e-179,"LRRC59","55379","leucine rich repeat containing 59"
"ENSG00000088448",1041.5088322989,2.36777272046564,0.0824391276520879,28.7214674378674,2.05836332939222e-181,2.80890358783171e-179,"ANKRD10","55608","ankyrin repeat domain 10"
"ENSG00000108932",593.620514665934,3.86329422850793,0.135042980219025,28.6078863354622,5.36043162858324e-180,7.24789370110641e-178,"SLC16A6","9120","solute carrier family 16 member 6"
"ENSG00000100345",41759.3349472728,-1.22519578050217,0.0428453764848029,-28.5957524713721,7.5876224303365e-180,1.01660344889363e-177,"MYH9","4627","myosin heavy chain 9"
"ENSG00000171848",822.67379311788,-2.53280647597014,0.0890287120314531,-28.449321776949,4.9681341649817e-178,6.59642894806309e-176,"RRM2","6241","ribonucleotide reductase regulatory subunit M2"
"ENSG00000038427",13753.9971136825,1.28379347830634,0.045133114172073,28.4446021919026,5.68293433263218e-178,7.47813269592259e-176,"VCAN","1462","versican"
"ENSG00000141429",3588.58297366052,1.50607086816261,0.0530931785067125,28.366560649071,5.23014314951968e-177,6.82140263164789e-175,"GALNT1","2589","polypeptide N-acetylgalactosaminyltransferase 1"
"ENSG00000155903",1023.35613415789,2.05089158351551,0.0724505354963146,28.3074730844444,2.79630494346057e-176,3.61508265409841e-174,"RASA2","5922","RAS p21 protein activator 2"
"ENSG00000091039",4444.70184434491,1.57257792717334,0.0556189550747667,28.2741364892486,7.1892971837089e-176,9.21355320813059e-174,"OSBPL8","114882","oxysterol binding protein like 8"
"ENSG00000147065",17820.4971549208,-1.0301253064328,0.0365228225332413,-28.2049752725225,5.08112836837066e-175,6.45566119767645e-173,"MSN","4478","moesin"
"ENSG00000117399",548.054729960495,-3.23340373494476,0.114651721630661,-28.201964078314,5.53209165189255e-175,6.96854416799935e-173,"CDC20","991","cell division cycle 20"
"ENSG00000135926",1251.33626199858,-1.85342990574457,0.0659124211826775,-28.1195846319733,5.64498694389137e-174,7.05049301517551e-172,"TMBIM1","64114","transmembrane BAX inhibitor motif containing 1"
"ENSG00000173801",2853.13714423843,1.54852031436501,0.055234719671563,28.0352706336309,6.04056965228989e-173,7.48116937272675e-171,"JUP","3728","junction plakoglobin"
"ENSG00000163661",1909.80217231797,-1.64964804937765,0.059053374168876,-27.9348652400474,1.00678150606785e-171,1.23649548636899e-169,"PTX3","5806","pentraxin 3"
"ENSG00000185112",747.773002441521,2.65534841444062,0.0952230064718663,27.8855763205203,3.99157031968714e-171,4.86179862574786e-169,"FAM43A","131583","family with sequence similarity 43 member A"
"ENSG00000103449",1051.52143130918,2.35381530130325,0.0844340378394095,27.8775640906825,4.99214111025717e-171,6.03067013794837e-169,"SALL1","6299","spalt like transcription factor 1"
"ENSG00000170759",4331.58598921615,-1.28570159441894,0.0461355795180557,-27.8678973549204,6.53811665421108e-171,7.83404579266366e-169,"KIF5B","3799","kinesin family member 5B"
"ENSG00000057657",689.791384929011,2.83420145486102,0.101922368589599,27.807452810219,3.52494702547576e-170,4.18957010173079e-168,"PRDM1","639","PR/SET domain 1"
"ENSG00000109685",1268.17937848349,-1.89110241764279,0.0682347230439845,-27.7146639317899,4.64843954437976e-169,5.48069616040552e-167,"NSD2","7468","nuclear receptor binding SET domain protein 2"
"ENSG00000172795",852.701537725169,2.13206737940807,0.0770835742314852,27.6591660501546,2.16519603487053e-168,2.53259199697793e-166,"DCP2","167227","decapping mRNA 2"
"ENSG00000184838",1048.67798618006,2.27794331497316,0.0824087393200453,27.6420114391808,3.48150541957239e-168,4.04019109241401e-166,"PRR16","51334","proline rich 16"
"ENSG00000166510",570.336073336896,2.83088461026219,0.102927884380587,27.5035732765543,1.59110545873167e-166,1.83200876959276e-164,"CCDC68","80323","coiled-coil domain containing 68"
"ENSG00000076706",1719.55770882045,-1.57938242131309,0.0575011780862614,-27.46695761509,4.35859124108455e-166,4.97960602411659e-164,"MCAM","4162","melanoma cell adhesion molecule"
"ENSG00000102225",1340.69055489962,-1.74229970820214,0.0634971543430503,-27.4390203187559,9.39451625566211e-166,1.06504908135345e-163,"CDK16","5127","cyclin dependent kinase 16"
"ENSG00000197565",563.648360733133,3.41302170306614,0.124605048027754,27.3907177685606,3.53780468924109e-165,3.98016530610955e-163,"COL4A6","1288","collagen type IV alpha 6 chain"
"ENSG00000161800",563.92368811932,-2.7923008238261,0.102045843540647,-27.3631999789767,7.52222719744144e-165,8.39868063908273e-163,"RACGAP1","29127","Rac GTPase activating protein 1"
"ENSG00000113387",1168.42585268541,-2.03750868098461,0.0744625121996936,-27.3628785921219,7.58875919590595e-165,8.4092581225009e-163,"SUB1","10923","SUB1 regulator of transcription"
"ENSG00000166851",502.683929770066,-3.3292374174235,0.12168897943465,-27.3585778506046,8.53773959676245e-165,9.39023926694664e-163,"PLK1","5347","polo like kinase 1"
"ENSG00000152223",2690.47150334747,-1.50606742293018,0.055077050554777,-27.3447362877995,1.24733040331393e-164,1.36171522104006e-162,"EPG5","57724","ectopic P-granules 5 autophagy tethering factor"
"ENSG00000076641",954.690284174,2.03263249198754,0.0744909386372679,27.2869764990532,6.05492851212007e-164,6.56158355967836e-162,"PAG1","55824","phosphoprotein membrane anchor with glycosphingolipid microdomains 1"
"ENSG00000072041",2369.28278181903,5.09735332203113,0.186814833117033,27.2855920323939,6.28835886247453e-164,6.76480532227369e-162,"SLC6A15","55117","solute carrier family 6 member 15"
"ENSG00000136378",1190.06353560081,2.13136943568175,0.0788327303769622,27.0366055506384,5.48948079071389e-161,5.86260636909719e-159,"ADAMTS7","11173","ADAM metallopeptidase with thrombospondin type 1 motif 7"
"ENSG00000089685",509.548185635596,-3.09766103190833,0.114589406974416,-27.0326997381175,6.10171600451172e-161,6.46957485428012e-159,"BIRC5","332","baculoviral IAP repeat containing 5"
"ENSG00000111206",489.637006535011,-3.02314009594939,0.111928825299868,-27.0094865004623,1.14349429836846e-160,1.20377278352531e-158,"FOXM1","2305","forkhead box M1"
"ENSG00000174574",1409.88985133804,-1.74444146028316,0.0649482698803191,-26.8589365582433,6.63276590710106e-159,6.93288680417414e-157,"AKIRIN1","79647","akirin 1"
"ENSG00000167553",3002.80270522025,-1.43654751185462,0.0535105883171284,-26.8460421952564,9.38156424135171e-159,9.73700660486208e-157,"TUBA1C","84790","tubulin alpha 1c"
"ENSG00000075426",1241.54577193998,-2.02417343926102,0.075406673361491,-26.843425774233,1.00651688537073e-158,1.03734586409747e-156,"FOSL2","2355","FOS like 2, AP-1 transcription factor subunit"
"ENSG00000113319",1375.65463563177,1.72034861200914,0.0641522045591038,26.8166717548136,2.06535433576892e-158,2.11383279170572e-156,"RASGRF2","5924","Ras protein specific guanine nucleotide releasing factor 2"
"ENSG00000205542",10772.7240037773,-1.368601416682,0.0510598837578026,-26.8038490485763,2.91409366573519e-158,2.96192499624863e-156,"TMSB4X","7114","thymosin beta 4 X-linked"
"ENSG00000147883",1092.60954361111,2.17982979422359,0.0813913267330258,26.7820894648113,5.22457053534122e-158,5.27395346231911e-156,"CDKN2B","1030","cyclin dependent kinase inhibitor 2B"
"ENSG00000119326",1060.1999959954,-2.06902763037828,0.0775868057462786,-26.6672614045271,1.12888432217225e-156,1.13180252654249e-154,"CTNNAL1","8727","catenin alpha like 1"
"ENSG00000100106",1548.43376339178,-1.54579702555689,0.0580504851149258,-26.6284945336218,3.17635838529612e-156,3.16305201908745e-154,"TRIOBP","11078","TRIO and F-actin binding protein"
"ENSG00000125384",562.779146692896,-2.72049307007012,0.102236932777888,-26.6096898268697,5.24357783357696e-156,5.18656712156089e-154,"PTGER2","5732","prostaglandin E receptor 2"
"ENSG00000125845",1172.2386809597,5.52533661138903,0.207771211150542,26.5933696049238,8.09914671383321e-156,7.95768161789826e-154,"BMP2","650","bone morphogenetic protein 2"
"ENSG00000134333",9887.50008844396,-1.01647209044508,0.038314063182126,-26.5299998492272,4.36998743934429e-155,4.2652235020567e-153,"LDHA","3939","lactate dehydrogenase A"
"ENSG00000157227",22662.7967620428,1.09975936182549,0.0415181800726524,26.4886216086791,1.31080330847199e-154,1.27096178685922e-152,"MMP14","4323","matrix metallopeptidase 14"
"ENSG00000167900",535.537322697115,-2.99316984531553,0.113333402790754,-26.4103059787394,1.04332636590087e-153,1.00500287455209e-151,"TK1","7083","thymidine kinase 1"
"ENSG00000091409",2615.20252718009,-1.3448815711501,0.0509516578473917,-26.395246552688,1.55362893457013e-153,1.48684306738277e-151,"ITGA6","3655","integrin subunit alpha 6"
"ENSG00000091844",494.500786591075,2.80821461979282,0.106412973371331,26.3897768366407,1.7952775635905e-153,1.70701940207721e-151,"RGS17","26575","regulator of G protein signaling 17"
"ENSG00000169439",2385.18491369971,1.3244636548693,0.0502228267626616,26.3717464795108,2.89069139792575e-153,2.73096216811728e-151,"SDC2","6383","syndecan 2"
"ENSG00000100647",1393.45153066727,1.71995059226944,0.0652353702747787,26.3653074248649,3.42645978261029e-153,3.21650727873315e-151,"SUSD6","9766","sushi domain containing 6"
"ENSG00000139318",1424.14713666972,1.67884326173764,0.0638947451430772,26.2751382445969,3.69001843657748e-152,3.44199314672651e-150,"DUSP6","1848","dual specificity phosphatase 6"
"ENSG00000071127",10996.1867655617,-1.00330193009457,0.0382024974646988,-26.2627314096853,5.11417826094902e-152,4.74042510753878e-150,"WDR1","9948","WD repeat domain 1"
"ENSG00000042062",529.580434708431,3.50771136339127,0.134086229212051,26.1601163967702,7.5611313626713e-151,6.9647471264406e-149,"RIPOR3","140876","RIPOR family member 3"
